PRIMARY_KEY,STATE,YEAR,ENROLL,Total Expenditure,Instruction Expenditure,Support Services Expenditure,Other Expenditure,Capital Outlay Expenditure,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,Math Score Grade 4,Math Score Grade 8,Reading Score Grade 4,Reading Score Grade 8
1992_ALABAMA,ALABAMA,1992,,2653798,1481703,735036,,174053,8224,55460,57948,58025,41167,471564,196386,676174,208.3278759,252.1875224,207.9635172,
1993_ALABAMA,ALABAMA,1993,727716,2833433,1564558,794146,237222,204207,8264,56598,57497,60004,39900,470775,198651,677690,,,,
1994_ALABAMA,ALABAMA,1994,730004,3103266,1697593,826442,306977,231508,9051,57723,56773,59165,41730,468472,201285,678808,,,,
1995_ALABAMA,ALABAMA,1995,727480,3353363,1851700,888983,326956,243365,9324,59739,56486,59914,40981,470246,206840,686410,,,,
1996_ALABAMA,ALABAMA,1996,735912,3572283,1987018,935115,322883,286699,9633,60949,57098,58305,42510,469370,207980,686983,211.6469735,256.5948632,210.9207675,260.2764414
1997_ALABAMA,ALABAMA,1997,737386,3963624,2095904,1075352,323955,420070,9886,58326,57431,58210,44272,472847,208148,690881,,,,
1998_ALABAMA,ALABAMA,1998,739321,4245033,2218693,1155492,357731,458351,10341,58055,58610,57105,43957,473954,205630,689925,,,,
1999_ALABAMA,ALABAMA,1999,737639,4622810,2399626,1208081,441314,515798,10548,56120,60012,56201,42576,472019,202045,684612,,,,
2000_ALABAMA,ALABAMA,2000,730184,5003267,2551713,1319053,395909,663903,10836,55112,59749,56951,42512,472686,201358,684880,217.941053,262.1582055,206.8800295,258.777258
2001_ALABAMA,ALABAMA,2001,728532,5086045,2656393,1374265,426481,540284,11841,54148,58929,56591,42909,469591,201610,683042,,,,
2002_ALABAMA,ALABAMA,2002,726367,5147821,2720735,1414594,418949,496146,9715,55499,58690,57576,45521,467993,206159,683867,,,,
2003_ALABAMA,ALABAMA,2003,727900,5298932,2817111,1521462,424662,432279,1852,56541,57323,59663,42005,466920,205907,674679,223.3446426,261.9390222,207.0838476,261.8708721
2004_ALABAMA,ALABAMA,2004,730418,5450269,2875595,1580654,433522,449619,1994,56964,56182,59286,42672,462799,208383,673176,,,,
2005_ALABAMA,ALABAMA,2005,729342,5904664,3053380,1744013,462605,511944,2623,58692,55919,59643,43452,466164,212414,681201,225.0712362,262.2111,207.752033,273.0457572
2006_ALABAMA,ALABAMA,2006,743265,6591429,3326656,1983482,485936,666550,3872,58209,56720,59573,44471,466583,214968,685423,,,,
2007_ALABAMA,ALABAMA,2007,743273,7196459,3653466,2174210,546077,687816,3592,55972,57795,58792,46200,466414,216941,686947,228.520018,266.0001099,216.3889539,265.6419817
2008_ALABAMA,ALABAMA,2008,742919,7847387,3947003,2373070,564746,816799,6470,56205,58593,57809,46763,465403,217590,689463,,,,
2009_ALABAMA,ALABAMA,2009,745668,7815467,3836398,2331552,561019,924956,7774,57019,59512,57027,48164,464601,219495,691870,227.9626504,268.5241203,216.2733559,267.5774737
2010_ALABAMA,ALABAMA,2010,748889,7647571,3900492,2308399,555539,729720,8179,57665,59117,57992,49719,467768,221940,697887,,,,
2011_ALABAMA,ALABAMA,2011,746933,7411768,3844055,2295909,559140,564183,8282,57602,56491,57919,49510,461122,217615,687019,231.286019,269.0965158,220.2734133,257.3835093
2012_ALABAMA,ALABAMA,2012,744621,7222161,3695221,2239569,558658,580949,9032,59428,55859,58151,48945,458974,217203,685209,,,,
2013_ALABAMA,ALABAMA,2013,744548,7487741,3747993,2317243,576737,643522,9415,59757,55719,58799,48965,458327,218705,686447,232.8613325,269.1942806,218.5759534,269.5337264
2014_ALABAMA,ALABAMA,2014,740081,7587737,3824295,2390530,587642,580934,11076,57939,55479,57471,49929,454081,221068,686225,,,,
2015_ALABAMA,ALABAMA,2015,734974,7501799,3817479,2414860,594283,510091,13230,55613,55808,55792,50668,452764,222182,688176,230.9774227,266.5553185,217.0490898,269.0200282
2016_ALABAMA,ALABAMA,2016,734652,7708845,3865453,2439634,602452,610743,,,,,,,,,,,,
2017_ALABAMA,ALABAMA,2017,,,,,,,,,,,,,,,232.1706877,268.3120202,216.4198135,257.6865203
1992_ALASKA,ALASKA,1992,,972488,498362,350902,,37451,2371,10152,9748,8789,6714,79117,30847,112335,,,,258.8597125
1993_ALASKA,ALASKA,1993,121156,1126398,494917,433788,36291,135791,2787,10329,10156,9160,6975,80485,32347,115619,,,,
1994_ALASKA,ALASKA,1994,123868,1116160,516242,446458,36589,98486,2593,10309,10318,9503,7057,80817,33338,116748,,,,
1995_ALASKA,ALASKA,1995,125421,1203817,515914,469085,37579,159146,2419,10567,10222,9573,7111,80448,34184,117051,,,,
1996_ALASKA,ALASKA,1996,126189,1240031,636959,365085,38996,179297,2186,10451,10055,9627,7370,81725,35557,119468,223.8334546,277.6430714,,262.1004242
1997_ALASKA,ALASKA,1997,128143,1237103,651935,372788,40973,152330,2183,10249,10473,9954,7771,83217,36474,121874,,,,
1998_ALASKA,ALASKA,1998,130633,1222893,680848,376448,42456,104903,2017,9838,10555,10497,8403,85124,38394,125535,,,,
1999_ALASKA,ALASKA,1999,133508,1289988,705069,403903,42897,119079,1344,9583,10926,10575,8381,84674,38790,124808,,,,
2000_ALASKA,ALASKA,2000,132822,1386904,717725,417637,46782,184546,1210,9677,10646,10377,8335,83555,38914,123679,,,,264.3034426
2001_ALASKA,ALASKA,2001,131985,1402839,701053,479510,48312,150279,1253,10095,10718,10702,8340,83540,39461,124254,,,,
2002_ALASKA,ALASKA,2002,133010,1523327,747223,485124,50601,215409,1391,10069,10084,10840,8810,82920,39984,124295,,,,
2003_ALASKA,ALASKA,2003,133303,1610289,763525,514052,55715,247005,1883,9475,10115,11140,8651,82337,40238,124458,232.9916543,279.0250699,211.5471536,268.7724206
2004_ALASKA,ALASKA,2004,133153,1647250,775069,527349,54475,255826,1760,9870,9674,10857,8766,80351,40989,123100,,,,
2005_ALASKA,ALASKA,2005,132568,1751718,829666,559084,55782,268700,1914,9934,9495,10793,9578,79377,42063,123354,235.5107055,278.9587094,211.0613186,266.8787375
2006_ALASKA,ALASKA,2006,132893,1817656,871434,601197,58037,236931,1832,9795,9589,10155,10039,78540,42441,122813,,,,
2007_ALASKA,ALASKA,2007,132197,1938755,927307,645857,60699,257723,1679,9625,9420,9953,10092,77676,42049,121404,237.2738932,282.5571541,214.4769544,266.9176171
2008_ALASKA,ALASKA,2008,130624,2274819,1113396,740000,65654,307512,1905,9744,9756,9673,9787,77614,41399,120918,,,,
2009_ALASKA,ALASKA,2009,130236,2396412,1129756,832783,70835,303165,2475,9804,10046,9626,9779,78545,40837,121857,237.2122843,283.0476628,211.1273683,256.1068616
2010_ALASKA,ALASKA,2010,131265,2371251,1151630,856333,71634,229874,2990,10120,9917,9622,9643,78880,40114,121984,,,,
2011_ALASKA,ALASKA,2011,131704,2443898,1215062,908567,81031,180137,2755,10453,9667,9527,9918,78849,39110,120714,236.359658,283.2727979,207.9236959,267.5429942
2012_ALASKA,ALASKA,2012,130771,2483320,1255757,947153,82607,145219,3131,10569,9756,9806,9696,79369,38420,120920,,,,
2013_ALASKA,ALASKA,2013,131091,2665933,1324649,982442,87165,248505,3247,10632,9722,9677,9500,78835,38230,120312,236.1220044,281.5595728,209.3472882,268.8033631
2014_ALASKA,ALASKA,2014,130539,2727056,1346457,982843,86314,269107,3074,10559,9812,9653,9671,79112,38431,120617,,,,
2015_ALASKA,ALASKA,2015,130755,2968341,1484610,1068849,92766,281914,3369,10409,10118,9400,9651,80011,38688,122068,236.328417,280.4934562,212.7926002,258.7537615
2016_ALASKA,ALASKA,2016,132477,2623014,1251738,983877,91536,255041,,,,,,,,,,,,
2017_ALASKA,ALASKA,2017,,,,,,,,,,,,,,,230.4562776,277.0155718,207.0376301,257.6674968
1992_ARIZONA,ARIZONA,1992,,3401580,1435908,1007732,,609114,2544,53497,55433,49081,37410,437127,175210,614881,215.253932,265.3662778,206.2127155,262.1698947
1993_ARIZONA,ARIZONA,1993,676297,3623946,1578889,1000914,164083,680139,3164,57656,57701,53500,37614,461398,182737,647299,,,,
1994_ARIZONA,ARIZONA,1994,708482,3803379,1652311,1054136,183778,696618,3540,59545,60032,55334,40119,475475,194196,673211,,,,
1995_ARIZONA,ARIZONA,1995,735018,4056279,1772388,1131046,226507,710135,4027,61420,60202,56407,39197,479074,194744,677845,,,,
1996_ARIZONA,ARIZONA,1996,764681,4391555,1860007,1193260,220650,877190,4495,64613,62793,60514,42041,511925,210289,726709,217.5759405,267.8748343,206.5297884,263.2836376
1997_ARIZONA,ARIZONA,1997,783552,4432360,1977550,1252277,265183,678793,4674,63857,65170,60138,44259,522450,217764,744888,,,,
1998_ARIZONA,ARIZONA,1998,794331,4726098,2091741,1315931,279785,759108,5209,65312,67764,63943,45813,543670,224867,773746,,,,
1999_ARIZONA,ARIZONA,1999,814157,5072471,2272859,1426620,264903,871345,1772,67051,70418,65338,47907,551623,228813,782208,,,,
2000_ARIZONA,ARIZONA,2000,814807,5397194,2488932,1573568,270671,768425,2037,68347,72295,65526,49501,567626,236933,806596,218.7666191,270.7154059,205.3472754,270.519439
2001_ARIZONA,ARIZONA,2001,834387,5858385,2538936,1701945,269157,1035457,6624,72119,74270,69643,52162,585206,249920,841750,,,,
2002_ARIZONA,ARIZONA,2002,859588,6018188,2659448,1833852,286945,966925,7533,71357,71139,69841,60820,576817,276984,861334,,,,
2003_ARIZONA,ARIZONA,2003,875111,6210287,2810907,1964229,303924,864642,9376,76365,76207,76376,68815,613442,307272,930090,228.9113961,271.1773505,208.8728014,267.8089667
2004_ARIZONA,ARIZONA,2004,895927,6731212,3224647,2115629,332228,829146,9730,80614,77110,78595,71035,627544,320690,957964,,,,
2005_ARIZONA,ARIZONA,2005,919875,7136794,3423716,2264931,351097,861286,9979,83529,80458,80683,79180,645851,354901,1010731,229.8006731,274.30509,207.1427366,264.9477781
2006_ARIZONA,ARIZONA,2006,947266,7934177,3733989,2436340,392902,1143569,14905,85388,81388,80769,71388,659167,308576,982648,,,,
2007_ARIZONA,ARIZONA,2007,969875,8709531,3977800,2656438,403069,1436673,15854,86742,82876,81196,76275,668290,316376,1000520,231.9369335,275.5484264,209.5206243,254.7997475
2008_ARIZONA,ARIZONA,2008,987332,9581201,4251747,2878922,443634,1571620,16748,87229,83793,81576,76735,667539,316048,1000335,,,,
2009_ARIZONA,ARIZONA,2009,981303,9580393,4296503,2983729,455403,1312659,9175,84191,83686,82163,79283,666897,317397,993469,229.9911052,277.332282,209.9892695,267.1670297
2010_ARIZONA,ARIZONA,2010,963517,8812967,4223152,2949514,400773,713810,8554,82860,82862,80636,81326,660440,319747,988741,,,,
2011_ARIZONA,ARIZONA,2011,946571,8610417,3977772,2935127,350633,741124,8860,84433,82566,81294,81179,665998,320807,995665,235.157597,279.0335017,212.3950499,270.9661722
2012_ARIZONA,ARIZONA,2012,942738,8054662,3917564,2856528,360929,699033,9304,86265,83892,82769,81751,671982,321634,1002920,,,,
2013_ARIZONA,ARIZONA,2013,941726,7600581,3824071,2643742,368750,558466,8791,86258,84282,83849,84291,679992,327144,1015927,240.3049115,279.722268,213.1341315,257.4278382
2014_ARIZONA,ARIZONA,2014,943937,8109460,3902565,2858103,461316,678228,8839,83241,85535,84596,84913,687823,331552,1028214,,,,
2015_ARIZONA,ARIZONA,2015,944978,7902600,3846357,2880184,478876,497662,8747,79396,86594,84084,84854,687144,333579,1029470,237.6117554,282.9194894,215.3113365,260.3170188
2016_ARIZONA,ARIZONA,2016,938274,7987011,3872250,2913176,490641,528694,,,,,,,,,,,,
2017_ARIZONA,ARIZONA,2017,,,,,,,,,,,,,,,234.4357882,282.2481453,215.4659519,262.9574567
1992_ARKANSAS,ARKANSAS,1992,,1743022,964323,483488,,145212,808,33511,34632,36011,27651,281338,123113,405259,210.2060281,256.3120904,208.6344584,264.6196647
1993_ARKANSAS,ARKANSAS,1993,311432,1376067,782791,386526,68617,97824,1248,34337,34255,36471,27169,280280,125801,407329,,,,
1994_ARKANSAS,ARKANSAS,1994,312695,1445984,816270,403608,75434,105349,1652,35620,34488,36437,27161,279964,127437,409053,,,,
1995_ARKANSAS,ARKANSAS,1995,447757,2155067,1211057,598109,119934,160693,1525,36731,33955,36696,27083,281900,129863,413288,,,,
1996_ARKANSAS,ARKANSAS,1996,452907,2297381,1264275,636106,127007,203555,1980,36442,33855,37064,27613,283883,131997,417860,215.846436,261.6527453,208.8377158,271.8345898
1997_ARKANSAS,ARKANSAS,1997,457349,2379496,1291727,667439,158337,192204,1672,35761,34067,36229,29204,282911,133449,418032,,,,
1998_ARKANSAS,ARKANSAS,1998,456355,2536027,1367612,731619,170279,192590,1390,34120,35034,35936,29123,282517,132507,416414,,,,
1999_ARKANSAS,ARKANSAS,1999,451981,2650808,1424443,767854,177666,196954,1425,34218,35707,35403,29316,281082,132893,415400,,,,
2000_ARKANSAS,ARKANSAS,2000,450751,2683400,1531232,804253,138220,146666,2001,33941,35724,34873,28918,281091,131511,414603,217.0628695,261.3637127,212.8817972,268.0048171
2001_ARKANSAS,ARKANSAS,2001,449693,2951677,1616883,877225,153300,235346,1623,34981,35216,35372,28849,280237,131418,413278,,,,
2002_ARKANSAS,ARKANSAS,2002,449161,3087453,1697645,910208,165003,239177,1938,35283,33835,36102,29277,280571,131716,414225,,,,
2003_ARKANSAS,ARKANSAS,2003,450158,3242799,1768713,972598,170767,247245,2573,36391,34070,37004,28840,281834,132712,417119,229.0065887,265.7715893,213.6153045,264.6565519
2004_ARKANSAS,ARKANSAS,2004,453491,3539569,1863515,1036279,182711,362154,7688,36967,33884,37369,28640,282856,134641,425185,,,,
2005_ARKANSAS,ARKANSAS,2005,461667,3999608,2118580,1173643,200865,393713,10372,38070,34951,37279,29351,286781,138237,435390,235.545467,271.6363484,217.0715289,254.9985524
2006_ARKANSAS,ARKANSAS,2006,472609,4343877,2265821,1297593,211065,449548,10895,38058,35581,36026,29617,287207,139689,437791,,,,
2007_ARKANSAS,ARKANSAS,2007,474532,4779308,2337748,1378576,450454,470562,12795,38192,35710,35944,30708,288518,138921,440234,237.6706874,273.8998622,217.0278177,265.8126157
2008_ARKANSAS,ARKANSAS,2008,476110,4720720,2388502,1462092,248189,463449,13254,37997,36345,35387,30256,289953,137196,440403,,,,
2009_ARKANSAS,ARKANSAS,2009,474423,5017352,2417974,1492691,533057,409763,13504,38115,36479,35715,30567,292256,136213,441973,237.5405919,275.9995,216.1515814,269.5687297
2010_ARKANSAS,ARKANSAS,2010,474897,5520387,2521528,1595730,639753,595456,14059,37701,36873,36237,30330,293680,136156,443895,,,,
2011_ARKANSAS,ARKANSAS,2011,475551,5669431,2559292,1655684,676591,605857,14466,37305,36662,36339,30441,293926,136959,445351,237.810157,279.088205,216.514864,258.4210904
2012_ARKANSAS,ARKANSAS,2012,475671,5299969,2548056,1683928,277927,612420,14290,40463,36140,36607,30734,292641,138428,445359,,,,
2013_ARKANSAS,ARKANSAS,2013,477716,5226339,2545564,1694335,281692,533975,14984,39900,36321,36660,31646,294621,140185,449790,239.8905221,277.9148025,218.5238853,261.2560926
2014_ARKANSAS,ARKANSAS,2014,479881,5242672,2609867,1753929,282078,424314,14834,38503,35922,36788,32428,295622,141653,452109,,,,
2015_ARKANSAS,ARKANSAS,2015,479682,5350543,2620399,1772639,290396,511556,16083,37509,35893,36882,32385,296050,142242,454375,235.2154697,275.0647564,218.0774962,262.7693918
2016_ARKANSAS,ARKANSAS,2016,479177,5434193,2658253,1802769,289916,518181,,,,,,,,,,,,
2017_ARKANSAS,ARKANSAS,2017,,,,,,,,,,,,,,,233.8481437,273.7599073,216.1080257,259.9557985
1992_CALIFORNIA,CALIFORNIA,1992,,27138832,14358922,8520926,,2044688,59067,431763,418418,363296,270675,3286034,1372011,4717112,208.3989609,260.8922468,196.7644141,
1993_CALIFORNIA,CALIFORNIA,1993,5129788,28110986,15281147,8914559,1608514,1944760,59954,444104,420233,380223,277271,3328627,1393530,4782111,,,,
1994_CALIFORNIA,CALIFORNIA,1994,4120498,23012688,12443864,6754346,1615630,1916061,66450,448237,426919,388561,285132,3372294,1421547,4860291,,,,
1995_CALIFORNIA,CALIFORNIA,1995,5299405,30097549,16146416,8603751,2181053,2669270,69182,472334,428553,399039,287428,3430751,1464841,4964774,,,,
1996_CALIFORNIA,CALIFORNIA,1996,5460484,31561692,16880730,9222569,2362407,2580639,73233,469965,435217,406456,298669,3516572,1525618,5115423,209.1290827,262.7724784,201.9125907,269.1974505
1997_CALIFORNIA,CALIFORNIA,1997,5595836,33862281,18160435,10040400,1792979,3088674,76584,463684,451069,412604,317595,3591033,1578929,5246546,,,,
1998_CALIFORNIA,CALIFORNIA,1998,5727224,38087666,20083913,10939061,1862674,4335730,81926,459262,462241,424768,334852,3666271,1627284,5375481,,,,
1999_CALIFORNIA,CALIFORNIA,1999,5839207,40834643,21110543,11539910,1954362,4738866,85992,459771,489356,431730,347914,3734997,1675778,5496767,,,,
2000_CALIFORNIA,CALIFORNIA,2000,5941946,45829753,23514388,12429070,2269603,5849441,89919,459771,489043,441877,357789,3804640,1707952,5602511,213.5651251,262.1710266,205.9165877,264.4940665
2001_CALIFORNIA,CALIFORNIA,2001,6045030,52082540,26641811,14127664,2570224,6755895,100351,457165,485301,461133,365907,3871843,1745295,5717489,,,,
2002_CALIFORNIA,CALIFORNIA,2002,6136915,56464225,28593157,15568570,2882414,6998522,109264,456940,491510,473553,385181,3917027,1807054,5833345,,,,
2003_CALIFORNIA,CALIFORNIA,2003,6226552,59749885,29561563,17030335,2995767,7341541,114939,456941,493415,500143,395194,3929869,1854518,5899326,227.4549818,267.0495006,205.6324371,255.0733796
2004_CALIFORNIA,CALIFORNIA,2004,6284502,62647953,29624968,17338877,3048006,9242549,119410,455155,488045,498806,409576,3897579,1915361,5932350,,,,
2005_CALIFORNIA,CALIFORNIA,2005,6307022,66196072,31070450,18046385,3132465,10223657,125099,458440,477828,489560,423241,3848455,1953077,5926631,230.3669575,268.5581286,206.5120265,264.1845096
2006_CALIFORNIA,CALIFORNIA,2006,6295994,68722432,32387671,19079354,3259244,10047331,119824,454605,470542,491871,443253,3830950,1993972,5944746,,,,
2007_CALIFORNIA,CALIFORNIA,2007,6288686,73225422,34685013,20655194,3467540,10058842,68002,454743,467305,490054,468281,3801685,2011865,5881552,230.0340912,270.381784,208.522186,268.1594281
2008_CALIFORNIA,CALIFORNIA,2008,6258421,76618865,36542347,22310865,3692956,9388155,70497,461063,463904,486390,476156,3770281,2013687,5854465,,,,
2009_CALIFORNIA,CALIFORNIA,2009,6234155,74766086,35617964,21693675,3759373,8881265,71783,471058,465866,472856,478503,3717166,1997064,5786013,231.6749272,270.4485881,209.7624054,254.8952466
2010_CALIFORNIA,CALIFORNIA,2010,6213958,71227111,34657275,20704755,3556156,7150441,72404,468036,463691,476639,492545,3749960,1993538,5815902,,,,
2011_CALIFORNIA,CALIFORNIA,2011,6202604,69847705,34225248,20266047,3486160,6523770,73630,488070,462082,467626,494144,3742708,1977069,5793407,234.1649932,272.7698031,211.358636,261.285252
2012_CALIFORNIA,CALIFORNIA,2012,6203034,70191877,34213049,20393761,3488344,6736656,74360,489274,468007,465967,496754,3763810,1965168,5803338,,,,
2013_CALIFORNIA,CALIFORNIA,2013,6208733,69727119,34194878,20595508,3461759,6160059,75951,506831,470515,472381,498403,3771067,1952314,5799332,233.6544646,275.9013507,212.5459679,260.4482872
2014_CALIFORNIA,CALIFORNIA,2014,6224685,72506810,35539425,21594573,3581789,6124103,76641,511985,475192,467038,496901,3767745,1949755,5794141,,,,
2015_CALIFORNIA,CALIFORNIA,2015,6226523,78365958,38951948,23501848,3754315,6373893,,530531,485885,465322,492835,3748465,1941009,,231.549345,275.324573,212.6779485,258.768268
2016_CALIFORNIA,CALIFORNIA,2016,6217031,85320133,42587272,26058021,3995951,6786142,,,,,,,,,,,,
2017_CALIFORNIA,CALIFORNIA,2017,,,,,,,,,,,,,,,232.262941,276.6382001,215.4218142,262.52063
1992_COLORADO,COLORADO,1992,,3264826,1642466,1035970,,364760,7410,47588,50648,45025,34533,394904,160299,562613,221.0234291,272.3984329,213.4808903,266.4196869
1993_COLORADO,COLORADO,1993,539538,3028305,1537714,954032,92163,318959,7249,47598,50807,47665,34770,403871,164260,575380,,,,
1994_COLORADO,COLORADO,1994,549570,3113755,1574164,977343,95796,328219,9853,48673,51877,49332,35464,410452,170200,590505,,,,
1995_COLORADO,COLORADO,1995,639805,3766191,1896225,1174299,115636,449501,10472,50316,52783,51180,35480,417330,176831,604633,,,,
1996_COLORADO,COLORADO,1996,655679,4075165,2052264,1127563,143767,588209,12520,50707,52524,52269,37179,423510,185700,621730,225.8058575,275.6082142,221.6532433,268.1681543
1997_COLORADO,COLORADO,1997,672634,4398196,2188731,1205308,154175,678631,12861,51408,53023,52632,39263,429624,192259,634744,,,,
1998_COLORADO,COLORADO,1998,686360,4739136,2253623,1470619,158788,622534,13068,50859,54382,53556,40076,436825,197136,647029,,,,
1999_COLORADO,COLORADO,1999,698402,5040224,2401914,1565012,179582,628011,12857,50378,56154,54599,41999,442631,200982,656470,,,,
2000_COLORADO,COLORADO,2000,707436,5444193,2539372,1674044,191201,782711,15377,51039,57056,55384,43502,450150,207942,673469,,,,259.5642379
2001_COLORADO,COLORADO,2001,723696,5727966,2709184,1844900,209212,672080,19516,53079,58028,56540,44912,456561,212989,689066,,,,
2002_COLORADO,COLORADO,2002,741319,6237142,2963406,1967267,225545,779315,20368,53872,57318,57664,46790,460225,217397,697990,,,,
2003_COLORADO,COLORADO,2003,751049,6685029,3168745,2149761,236480,821129,19993,55913,56437,58897,48924,460419,221368,701780,235.1931161,283.3998585,223.660982,266.2285608
2004_COLORADO,COLORADO,2004,756319,6869975,3232723,2190563,245429,859189,21256,56968,56425,59397,50387,462471,225281,709008,,,,
2005_COLORADO,COLORADO,2005,765388,7284280,3380399,2343655,260280,918985,23211,59398,57151,59929,51818,467266,229951,720428,239.2158745,280.8240073,223.65613,266.2255436
2006_COLORADO,COLORADO,2006,778842,7803324,3562901,2518038,298896,1024225,24554,60922,57877,59497,53922,473565,234985,733104,,,,
2007_COLORADO,COLORADO,2007,790211,8039146,3782300,2483095,286754,1083411,25649,61576,59449,58396,55334,478501,236141,740291,240.2058902,286.1927562,223.7326529,251.9368814
2008_COLORADO,COLORADO,2008,796824,8884786,4221868,2765773,314078,1157579,28280,63985,61058,58733,55936,488039,238139,754458,,,,
2009_COLORADO,COLORADO,2009,812068,8682489,4108304,2708535,330128,1035058,29701,64190,62929,59129,58526,497487,240990,768178,243.13244,287.3729075,225.6966406,259.4494265
2010_COLORADO,COLORADO,2010,825242,8914338,4232076,2807231,330789,1011988,30593,65182,63819,59684,60899,505302,242239,778134,,,,
2011_COLORADO,COLORADO,2011,834832,8676451,4204486,2804955,338267,827354,31091,66361,64560,61156,61398,513402,243411,787904,244.4560971,291.7426729,223.4338436,260.1480052
2012_COLORADO,COLORADO,2012,843120,8472536,4174705,2751179,353940,697434,30375,66951,65921,62260,62503,520184,246051,796610,,,,
2013_COLORADO,COLORADO,2013,851063,8699125,4292898,2773716,365228,758041,31741,67225,66140,63820,62836,528653,249380,809774,246.975708,289.6818001,226.6632196,261.9644908
2014_COLORADO,COLORADO,2014,865231,9286626,4470568,3002964,373620,932776,31663,66068,66809,65116,63001,536632,254643,822938,,,,
2015_COLORADO,COLORADO,2015,872320,9557682,4578938,3170482,397263,923360,32224,64631,68176,65957,65317,541348,260909,834481,241.5635756,285.5391887,224.0232249,258.9868426
2016_COLORADO,COLORADO,2016,880678,9878524,4786838,3333043,399899,880204,,,,,,,,,,,,
2017_COLORADO,COLORADO,2017,,,,,,,,,,,,,,,240.6950166,286.2477175,224.6916187,270.3386885
1992_CONNECTICUT,CONNECTICUT,1992,,3721338,2148041,1142600,,48542,5731,41319,38058,33691,28366,304284,126917,436932,226.79848,273.7393446,222.4175986,264.7139043
1993_CONNECTICUT,CONNECTICUT,1993,471918,4079943,2302852,1190914,143312,186802,6216,42338,39093,34662,27979,310022,127655,443893,,,,
1994_CONNECTICUT,CONNECTICUT,1994,479522,4132350,2431273,1221662,150749,53083,7601,43511,40737,35665,28640,319899,131181,458681,,,,
1995_CONNECTICUT,CONNECTICUT,1995,489513,4252186,2596475,1245242,137005,91833,8093,44148,41365,37320,28282,328065,133657,469815,,,,
1996_CONNECTICUT,CONNECTICUT,1996,499815,4538234,2701637,1296119,149792,149327,9147,43213,41969,37991,28882,335296,137753,482196,232.0265739,279.5912449,231.5983046,263.6897811
1997_CONNECTICUT,CONNECTICUT,1997,507838,4642835,2709106,1368262,164857,194220,9680,42382,43175,39089,29660,340533,140872,491085,,,,
1998_CONNECTICUT,CONNECTICUT,1998,515141,4810851,2844608,1444460,162325,144785,10056,42500,44520,40254,30437,346825,145317,502198,,,,
1999_CONNECTICUT,CONNECTICUT,1999,522415,5269517,3016240,1535406,179789,300611,10518,42193,45307,41205,31670,351202,150080,511800,,,,
2000_CONNECTICUT,CONNECTICUT,2000,530363,5605280,3189123,1634888,180639,369278,10484,41570,44682,42597,32591,354391,155734,520609,234.2433747,281.9024856,229.3811428,266.4686176
2001_CONNECTICUT,CONNECTICUT,2001,537521,5987680,3360042,1748476,231240,385785,11050,41906,44990,43954,34301,357061,160211,528322,,,,
2002_CONNECTICUT,CONNECTICUT,2002,543829,6475918,3570517,1847167,241930,542302,11150,41224,44021,44422,36059,353624,164025,528799,,,,
2003_CONNECTICUT,CONNECTICUT,2003,548466,6751815,3721466,1951609,252325,539870,11823,42310,43494,45854,37229,353661,169409,534893,240.6152416,283.7298112,228.340615,268.1242349
2004_CONNECTICUT,CONNECTICUT,2004,552505,7087023,3896977,2044339,267004,587992,12448,41886,42652,45072,38340,349835,173221,535504,,,,
2005_CONNECTICUT,CONNECTICUT,2005,552512,7452057,4177845,2200133,277388,496778,12774,41206,42876,44680,38662,345725,175354,533853,242.1207324,281.068953,225.7530197,251.9783912
2006_CONNECTICUT,CONNECTICUT,2006,549744,7982143,4406855,2354944,290868,603391,13577,40834,42107,44609,40027,343652,177037,534266,,,,
2007_CONNECTICUT,CONNECTICUT,2007,549230,8685421,4610572,2503468,311943,913165,14180,39889,42488,43670,40927,339965,176592,530737,242.7556468,282.4727901,227.2036492,258.7984559
2008_CONNECTICUT,CONNECTICUT,2008,544417,9046750,4878853,2669596,313708,826090,14952,40684,41792,43027,40743,336582,174980,526514,,,,
2009_CONNECTICUT,CONNECTICUT,2009,539250,9323053,5054397,2805173,330685,763075,15689,39866,41510,42999,41029,334409,174004,524102,244.7177427,288.6085135,228.9721167,257.5952755
2010_CONNECTICUT,CONNECTICUT,2010,534800,9542108,5242817,2768520,331600,823081,15921,39670,41155,42346,41381,331884,173071,520876,,,,
2011_CONNECTICUT,CONNECTICUT,2011,530132,9439182,5363942,2844490,333756,516116,16022,38840,40138,42511,40677,328515,171060,515597,242.4134069,286.9999447,227.4273043,259.1409378
2012_CONNECTICUT,CONNECTICUT,2012,522451,9791336,5485615,2932123,345177,637389,16393,39410,40895,42020,40743,324906,170245,511544,,,,
2013_CONNECTICUT,CONNECTICUT,2013,517812,9758850,5562212,2966636,359881,487318,16922,38274,39810,41460,40775,321966,169038,507926,243.4402974,285.2439723,229.5815994,261.5024557
2014_CONNECTICUT,CONNECTICUT,2014,511082,10201500,5889381,3128453,343615,447290,17987,37654,39699,41165,40018,319247,167790,505024,,,,
2015_CONNECTICUT,CONNECTICUT,2015,505366,10542667,6006275,3233901,362941,530491,18385,36641,39077,40320,40321,315851,167056,501292,240.1594689,283.9566773,228.9475434,268.0732253
